SP_ENTITY_NAME,SP_ENTITY_ID,SP_COMPANY_NAME,SP_COMPANY_STATUS,SP_COMPANY_TYPE,SPONSOR_BACKED_INFO,SP_COMPANY_NAME_CLEAN,reprisk_id,company_name,sectors,company_name_clean
"Direct Response Media, Inc.",4198933,"Direct Response Media, Inc.",Out of Business,Private Company,"Prior Sponsor-Backed [Seaport Capital, LLC]",direct response media,1962367,Direct Response Media INC,Support Services (Industrial Goods and Services),direct response media
"Directo, Inc.",4330629,"Directo, Inc.",Acquired,Private Company,Prior Sponsor-Backed [Cordova Ventures;CF Investment Company],directo,1257889,Directo INC,Financial Services,directo
"DISCERN Group, Inc.",4335794,"DISCERN Group, Inc.",Operating,Private Company,Never Sponsor-Backed,discern group,1302079,Discern Group INC,Software and Computer Services,discern group
"DISCERN Investment Analytics, Inc.",4339391,"DISCERN Investment Analytics, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Artiman Management LLC],discern investment analytics,2237713,Discern Investment Analytics,Support Services (Industrial Goods and Services),discern investment analytics
"Discount Drug Mart, Inc.",4098602,"Discount Drug Mart, Inc.",Operating,Private Company,Never Sponsor-Backed,discount drug mart,2056464,Discount Drug Mart Inc,Retail,discount drug mart
Discover Financial Services (NYSE:DFS),4096334,Discover Financial Services,Operating,Public Company,Prior Sponsor-Backed [Soros Fund Management LLC],discover financial services,7855,Discover Financial Services Inc,Financial Services,discover financial services
"Discovery Education, Inc.",4259123,"Discovery Education, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Clearlake Capital Group, L.P.;Francisco Partners Management, L.P.]

Prior Sponsor-Backed [Lumos Capital Group LLC]",discovery education,591566,Discovery Education Inc,Retail,discovery education
Discovery Insurance Company,12239,Discovery Insurance Company,Operating,Private Company,Never Sponsor-Backed,discovery insurance,181957,Discovery Insurance Co,Insurance,discovery insurance
Distributed Energy Systems Corp. (OTCPK:DESC.Q),4102219,Distributed Energy Systems Corp.,Reorganizing,Private Company,"Prior Sponsor-Backed [Haddington Ventures, L.L.C.;Solstice Capital;Utech Venture Capital Corp.;Kinetic Ventures, L.L.C.;Arete Corporation;Hydro-Québec Capitech;Hydrogenica Partners;Perseus, L.L.C.;Nth Power LLC;Liberty Environmental Partners]",distributed energy systems,16433,Distributed Energy Systems Corp,Alternative Energy,distributed energy systems
"DITTO.ME, INC.",4329755,"DITTO.ME, INC.",Acquired,Private Company,"Prior Sponsor-Backed [Betaworks Ventures Management, LLC;True Venture Management, LLC;Lifeline Ventures Oy]",dittome,1679252,Ditto.me,Telecommunications,dittome
"Diveo Broadband Networks, Inc.",4230226,"Diveo Broadband Networks, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Rothschild & Co Asset Management US Inc.;Columbia Management Group LLC;Kettle Partners, L.P.;Global Equity Partners Beteiligungs-Management GmbH;Meritage Funds;Goldman Sachs Asset Management, L.P.;Norwest Equity Partners;NVP Associates, LLC;Alta Equity Partners;TPG Capital, L.P.;GE Equity;Flagship Pioneering, Inc]",diveo broadband networks,1051698,Diveo Broadband Networks INC,Telecommunications,diveo broadband networks
"Diversified Financial Services, Inc.",1017279,"Diversified Financial Services, Inc.",Operating,Private Company,Never Sponsor-Backed,diversified financial services,2540447,Diversified Financial Services Corp,Financial Services,diversified financial services
"Divvyshot, Inc.",4255025,"Divvyshot, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Y Combinator Management, LLC]",divvyshot,1486814,Divvyshot INC,Software and Computer Services,divvyshot
"DivX, LLC (NASDAQGM:DIVX)",4240440,"DivX, LLC",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [Fenton Place Capital]

Prior Sponsor-Backed [Threshold Ventures Management Company, LLC;Draper Richards, L.P.;New Atlantic Ventures;Zone Ventures Management Company, LLC;PROOF.VC;Parallax Capital Partners, LLC;Insight Venture Management, LLC;Level Equity Management, LLC;Flatiron Partners;Cardinal Venture Capital;GFT Ventures, LLC;StepStone Group Inc. (NASDAQGS:STEP) (NASDAQGS : STEP);WI Harper Group;EPIC Ventures;Samsung Venture Investment Corporation;Springboard Worldwide Pte Ltd.;Black Diamond Ventures, LLC;Karmel Capital Management LLC]",divx,13746,DivX Inc,Software and Computer Services,divx
"DJSP Enterprises, Inc. (OTCEM:DJSP)",4257481,"DJSP Enterprises, Inc.",Operating,Public Company,"Prior Sponsor-Backed [Platinum Management (NY) LLC;FlatWorld Capital LLC;Globis Capital Management, LLC]",djsp enterprises,40882,DJSP Enterprises Inc,Financial Services,djsp enterprises
"DMG Bancshares, Inc.",26552128,"DMG Bancshares, Inc.",Operating,Private Company,Pending or Current Sponsor-Backed [Stone Point Capital LLC],dmg bancshares,2435657,DMG Bancshares Inc,Financial Services,dmg bancshares
"DMK Advisor Group, Inc.",4037191,"DMK Advisor Group, Inc.",Operating,Private Company,Never Sponsor-Backed,dmk advisor group,2637121,DMK Advisor Group Inc,Financial Services,dmk advisor group
"DMS Health Technologies, Inc.",4313056,"DMS Health Technologies, Inc.",Operating,Private Company,"Prior Sponsor-Backed [Platinum Equity, LLC]",dms health technologies,159859,DMS Health Technologies Inc,Health Care Equipment and Services,dms health technologies
"DMX, Inc.",4292448,"DMX, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Capstar Partners, LLC;Trinity Hunt Partners, L.P.]",dmx,1075508,DMX,Telecommunications,dmx
Dodge & Cox,109692,Dodge & Cox,Operating,Private Company,Never Sponsor-Backed,dodge cox,78531,Dodge & Cox,Financial Services,dodge cox
Dollar Savings Bank,1002404,Dollar Savings Bank,Out of Business,Private Company,Never Sponsor-Backed,dollar savings bank,91581,Dollar Savings Bank,Banks,dollar savings bank
"Dollar Thrifty Automotive Group, Inc. (OTCPK:DTG)",4078897,"Dollar Thrifty Automotive Group, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Pentwater Capital Management LP;JGD Management Corp.;Par Capital Management, Inc.;Chesapeake Partners Management Co., Inc.]",dollar thrifty automotive group,14613,Dollar Thrifty Automotive Group Inc,Travel and Leisure,dollar thrifty automotive group
"Dolphin Communications, Inc.",4206028,"Dolphin Communications, Inc.",Operating,Private Company,Never Sponsor-Backed,dolphin communications,2202218,Dolphin Communications,Telecommunications,dolphin communications
Doma Holdings Inc. (NYSE:DOMA),13748547,Doma Holdings Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Pacific Investment Management Company LLC;Millennium Management LLC;Foundation Capital, LLC;Dragoneer Investment Group, LLC;Fifth Wall Ventures Management, LLC;Fidelity Management & Research Company LLC;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK);The Gores Group LLC;DSAM Partners LLP;Hudson Structured Capital Management Ltd.;HVL Ventures Limited;Bloomberg Beta L.P.;Ghisallo Capital Management LLC;APA Venture Partners;Len X, LLC;SB Management Limited;75 & Sunny, LLC;Senator Investment Group LP;Citadel Advisors LLC;Hedosophia Group Limited;HSCM Ventures;Allspring Global Investments, LLC;Eminence Capital, LP;Allspring Funds Management, LLC;Greenspring Associates, Inc.;Quiet Capital Management LLC]",doma holdings,2450945,Doma Holdings Inc,Software and Computer Services | Financial Services,doma holdings
